order_id,delivery_status,delivery_time,rider_id
7082,Delivered,13:01:38,56
1541,Delivered,19:17:21,18
8815,Delivered,22:23:47,23
3947,Delivered,01:46:40,8
2512,Delivered,15:39:28,56
7554,Delivered,20:05:06,67
6158,Delivered,09:28:15,36
1777,Delivered,15:22:43,52
6163,Delivered,12:59:28,22
6040,Failed,,10
2247,Delivered,21:40:26,35
3775,Delivered,18:24:53,16
8218,Delivered,09:46:21,54
7838,Delivered,10:19:50,5
8789,Delivered,13:12:54,56
3314,Delivered,22:09:46,35
1831,Delivered,13:20:34,51
209,Delivered,06:36:03,66
7582,Delivered,01:36:45,4
1552,Delivered,07:25:28,35
3397,Delivered,00:28:49,39
2969,Delivered,06:31:47,70
8963,Delivered,12:24:24,16
2860,Delivered,12:21:16,47
124,Delivered,14:39:59,50
4173,Delivered,10:32:56,70
3088,Failed,,33
521,Delivered,23:08:08,6
3477,Delivered,20:33:09,39
3429,Delivered,16:31:25,30
8842,Failed,,42
8990,Delivered,12:53:26,19
6069,Delivered,22:02:42,69
5616,In transit,,35
2460,Delivered,11:59:06,60
208,Failed,,35
5827,Delivered,17:41:05,66
990,Delivered,13:57:47,54
8228,Delivered,16:39:40,23
164,Delivered,23:40:52,31
1688,Delivered,19:37:47,68
5230,Delivered,21:31:11,27
3468,In transit,,39
20,In transit,,25
6761,Delivered,16:52:20,49
818,Delivered,06:16:48,9
3034,Delivered,18:51:33,30
3574,In transit,,42
8415,Delivered,01:51:41,67
8115,In transit,,24
2718,Delivered,18:13:05,12
7455,Delivered,08:45:19,55
8237,Delivered,17:32:49,3
2383,Delivered,17:04:40,18
8796,Delivered,18:34:07,9
5113,Delivered,20:21:29,14
7124,In transit,,3
6592,In transit,,58
3433,Delivered,21:53:10,5
3801,Delivered,15:22:29,11
3655,Delivered,19:33:56,69
2552,Delivered,01:59:34,50
7226,Delivered,21:09:28,38
988,Delivered,20:15:42,66
6475,Delivered,18:28:33,1
4983,Delivered,22:40:00,23
8082,Delivered,10:00:28,61
2327,Delivered,19:34:18,11
5931,Delivered,13:28:41,3
8375,Delivered,17:35:12,53
1556,Delivered,11:35:35,56
4774,Failed,,28
