order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
1,1725,2,"Pork belly buns,Ebiten maki,Mushroom Risotto",2021-01-28,06:26:27,completed,18.59
2,1126,13,"Pork sausage roll,Chicken Fajitas",2025-09-13,15:01:36,pending,13.75
3,1126,14,Pasta with Tomato and Basil,2020-09-03,10:55:58,completed,5.29
4,556,11,Salmon nigiri,2023-04-16,21:45:18,completed,6.5
5,828,11,Tuna sashimi,2025-01-03,07:21:28,pending,7.98
6,479,17,French fries with sausages,2020-11-02,20:25:02,completed,4.49
7,421,16,Chicken milanese,2024-03-01,07:16:23,completed,7.21
8,2039,17,"Teriyaki Chicken donburi,Ricotta stuffed Ravioli",2021-09-21,13:59:34,completed,12.61
9,53,4,Chicken Fajitas,2022-07-28,10:50:54,completed,8.25
10,939,23,Pork belly buns,2020-03-13,18:38:28,completed,7.71
11,24,20,"Pork belly buns,Chilli con carne,Chicken wings",2020-08-04,14:12:41,completed,19.94
12,2974,14,"Fish and chips,Mushroom Risotto",2020-10-28,10:40:50,pending,16.23
13,1374,9,Tiramisù,2022-08-03,13:41:22,completed,7.86
14,1399,8,Mushroom Risotto,2020-12-06,19:54:55,pending,4.54
15,1274,19,Ricotta stuffed Ravioli,2022-09-17,12:45:39,completed,7.41
16,409,30,Ricotta stuffed Ravioli,2025-08-01,17:14:22,completed,7.22
17,2410,5,"Ebiten maki,Chicken milanese",2022-11-18,07:47:09,pending,13.48
18,2682,20,"Ebiten maki,California maki,Pappardelle alla Bolognese,Pappardelle alla Bolognese,Ricotta stuffed Ravioli",2022-11-26,09:07:19,pending,36.36
19,2368,19,"French fries with sausages,Mushroom Risotto",2020-07-29,12:32:18,completed,15.03
20,2037,30,"Pappardelle alla Bolognese,California maki",2020-06-16,09:44:15,completed,14.38
21,490,30,"Califlower penne,Fish and chips",2020-07-02,16:04:53,completed,9.71
22,596,3,Fettuccine Alfredo,2020-05-31,08:54:44,completed,4.95
23,780,6,"Caesar Salad,Souvlaki,Caesar Salad,Lasagne",2025-07-14,08:56:34,completed,29.6
24,2044,11,Katsu Curry,2020-07-27,10:17:10,pending,4.63
25,2785,21,Tuna sashimi,2023-10-23,21:10:11,completed,4.48
26,2725,19,"Mushroom Risotto,Pizza",2024-09-28,12:17:09,completed,13.33
27,184,23,Meatballs with sauce,2024-09-26,14:41:53,completed,7.26
28,451,30,"Katsu Curry,Ebiten maki,Cheeseburger",2022-10-25,09:14:21,completed,16.34
29,230,2,Katsu Curry,2022-09-16,09:26:43,completed,6.85
30,1962,25,"Pork belly buns,Teriyaki Chicken donburi,Teriyaki Chicken donburi,Ebiten maki,Meatballs with sauce",2020-04-06,11:51:47,cancelled,32.74
31,1635,4,"Califlower penne,Philadelphia maki",2025-07-27,11:57:03,pending,12.49
32,2788,12,Pasta Carbonara,2023-11-23,16:30:55,completed,6.79
33,2770,26,Lasagne,2023-04-13,06:39:54,completed,5.75
34,1215,13,"Philadelphia maki,Katsu Curry",2021-09-01,13:14:38,completed,16.57
35,1400,18,"Tuna sashimi,Pappardelle alla Bolognese,Chicken milanese,Salmon nigiri",2024-07-28,15:22:42,completed,26.78
36,1073,20,"Tiramisù,Pasta and Beans",2025-02-26,21:12:04,completed,13.66
37,2698,8,"Tiramisù,Caprese Salad,Califlower penne,Fish and chips,Pasta Carbonara",2025-02-25,08:19:22,pending,30.65
38,722,13,"Bruschette with Tomato,French fries with sausages",2020-11-25,15:00:29,completed,15.22
39,303,4,Vegetable Soup,2023-07-23,08:48:54,pending,6.71
40,1294,8,Califlower penne,2025-02-22,10:02:44,completed,8.01
41,1363,17,Salmon nigiri,2023-10-06,21:37:35,completed,6.31
42,1518,7,"Katsu Curry,California maki,Linguine with clams",2022-02-10,15:11:23,completed,16.15
43,741,6,Tuna sashimi,2022-10-07,16:01:15,completed,6.84
44,891,17,"Chicken wings,Mushroom Risotto,Pizza",2025-08-09,14:09:30,pending,19.89
45,2720,22,"Pork belly buns,Katsu Curry,Pasta and Beans,Cheeseburger",2023-07-28,19:55:23,completed,20.18
46,2285,2,California maki,2025-04-23,18:05:06,completed,6.49
47,993,15,Chicken wings,2020-11-06,10:55:12,completed,8.19
48,946,10,Souvlaki,2023-10-03,15:47:44,completed,7.29
49,2563,21,"Tuna sashimi,Califlower penne",2022-01-11,06:56:23,completed,9.22
50,596,10,"Pappardelle alla Bolognese,Ebiten maki,Teriyaki Chicken donburi",2020-10-27,17:23:01,completed,19.52
51,2656,1,Fish and chips,2021-06-20,08:58:12,completed,7.02
52,1442,27,Linguine with clams,2021-12-20,08:52:00,completed,4.8
53,1268,13,Caesar Salad,2020-04-22,18:02:45,completed,4.54
54,40,29,"Barbecue Ribs,Ebiten maki,Cheeseburger",2022-07-02,19:07:16,pending,22.15
55,2383,3,"Tiramisù,French fries with sausages",2022-03-26,06:04:53,completed,12.49
56,518,22,Fish and chips,2025-03-24,20:29:10,completed,6.46
57,1388,23,"Pappardelle alla Bolognese,Bruschette with Tomato,Fish and chips",2020-06-20,20:19:44,completed,19.64
58,2211,6,French fries with sausages,2021-10-14,16:47:59,completed,7.42
59,2331,1,Cheeseburger,2024-10-10,13:38:43,completed,6.95
60,538,3,Tiramisù,2022-06-05,06:05:21,completed,7.41
61,579,13,"Pappardelle alla Bolognese,California maki,Caprese Salad",2023-02-24,06:50:28,completed,19.1
62,1781,5,Salmon nigiri,2025-07-19,09:13:53,completed,4.32
63,1532,17,"Meatballs with sauce,Cheeseburger,Scotch eggs,Lasagne",2025-01-30,18:14:52,completed,25.36
64,1681,13,Katsu Curry,2020-04-17,12:46:55,pending,7.4
65,903,16,Caesar Salad,2022-06-08,14:34:06,completed,5.18
