restaurant_name,restaurant_city,opening_hours
Michael Adkins,Wileyborough,09:30AM-05:30PM
Melissa Morrison,Chaseville,10:00AM-05:30PM
Denise Bishop,New Megan,09:00AM-05:00PM
Ryan Harvey,Marcusshire,09:30AM-04:00PM
Felicia Miller,West Jake,09:00AM-06:00PM
Megan Rios,North Johnny,09:00AM-05:00PM
Michael Vega,West Ronaldchester,08:00AM-04:00PM
Alyssa Conley,Josephtown,"10:30AM-05:00PM, 07:30PM-11:00PM"
Crystal Thomas,Andersonland,"09:30AM-04:30PM, 06:00PM-11:30PM"
William Johnson,Meredithbury,08:00AM-04:30PM
Mr. Bryan Hebert,Jonesmouth,08:30AM-05:30PM
Christina Juarez,Williamsburgh,09:30AM-06:00PM
Austin Davis,Simsstad,"08:30AM-04:00PM, 06:30PM-11:00PM"
Julie Sanchez,East Steven,08:00AM-06:30PM
Teresa Mcconnell,Port Amandaville,09:00AM-06:30PM
Ralph Morgan,North Josephshire,"09:00AM-06:30PM, 08:00PM-10:00PM"
Derek Williams,West Michaelchester,08:00AM-06:30PM
Deborah Herman,Campbellhaven,09:00AM-05:30PM
Raymond Cox,West Angelashire,"10:00AM-04:30PM, 08:30PM-10:00PM"
Scott Johnson,Johnsonland,"09:00AM-05:00PM, 08:30PM-10:00PM"
Cheryl Morris,North Brittneyhaven,08:00AM-04:00PM
David Williams,North Diane,"09:00AM-04:00PM, 06:00PM-10:00PM"
Donna Villanueva,North Adam,09:00AM-06:00PM
Troy Williams,Lake Natashachester,09:30AM-06:00PM
Mrs. Patricia Perry,Stephensville,"10:30AM-05:30PM, 06:00PM-10:30PM"
David Chaney,Mccarthymouth,"08:00AM-05:30PM, 06:30PM-11:00PM"
Harold Sanchez,Jenkinschester,09:00AM-05:30PM
Jessica Brown,Wongbury,10:00AM-05:00PM
Shawn Calderon,Wilsonshire,"10:00AM-04:00PM, 07:00PM-10:00PM"
Lori Davis,Christinefort,10:30AM-05:30PM
